email,price,products,date
sophia3720@test.com,1080.24,Gaming Monitor;SSD;External HDD,2026-02-24
olivia1733@example.com,641.45,Gaming Monitor,2026-02-25
sophia1649@test.com,968.69,External HDD,2026-02-26
olivia9021@mail.com,388.64,Monitor;External SSD,2026-02-27
oliver9665@example.com,661.15,Gaming Monitor;Laptop;Gaming Mouse,2026-02-28
isabella3443@demo.com,1480.21,USB Hub,2026-03-01
noah4807@test.com,1206.97,USB Hub;USB Cable;External SSD,2026-03-02
chloe9426@example.com,976.13,Headset,2026-03-03
jacob2815@mail.com,192.6,Mechanical Keyboard;RAM,2026-03-04
emma2752@example.com,827.64,Webcam,2026-03-05
harper3626@mail.com,374.87,Mouse Pad;Headset;Mechanical Keyboard,2026-03-06
liam3507@test.com,317.62,Gaming Monitor;External SSD;Gaming Mouse,2026-03-07
mason8693@example.com,342.0,Monitor,2026-03-08
harper1171@demo.com,409.91,USB Hub,2026-03-09
jacob5619@demo.com,423.79,Monitor;Headset,2026-03-10
logan9280@example.com,156.09,External HDD,2026-03-11
sophia9601@mail.com,1450.03,Mechanical Keyboard;Graphics Card,2026-03-12
amelia3950@mail.com,51.31,Graphics Card;Mechanical Keyboard;Wireless Mouse,2026-03-13
sophia4565@example.com,1334.33,External HDD;Wireless Mouse;Graphics Card,2026-03-14
emma6235@example.com,307.53,Webcam;Mechanical Keyboard,2026-03-15
lucas917@test.com,1370.0,SSD;Gaming Monitor,2026-03-16
chloe8857@demo.com,1257.77,Graphics Card;Mechanical Keyboard;External SSD,2026-03-17
logan8294@demo.com,1197.56,External HDD;SSD,2026-03-18
chloe3959@test.com,217.56,USB Cable;Wireless Mouse;RAM,2026-03-19
mia8394@example.com,939.4,Wireless Mouse;Laptop;Graphics Card,2026-03-20
elijah3040@demo.com,1082.34,Wireless Mouse;Laptop,2026-03-21
emma8726@test.com,1405.36,Webcam;USB Hub;Mechanical Keyboard,2026-03-22
mason3922@example.com,1264.36,USB Cable,2026-03-23
chloe3422@mail.com,1307.57,External HDD;Gaming Monitor;Webcam,2026-03-24
ava5384@test.com,1058.95,Laptop,2026-03-25
evelyn5536@test.com,466.25,SSD;Laptop,2026-03-26
chloe8166@test.com,1202.13,Mechanical Keyboard,2026-03-27
noah5997@test.com,92.37,Wireless Mouse,2026-03-28
harper1487@demo.com,246.67,RAM,2026-03-29
chloe8910@mail.com,1225.5,Mouse Pad;Webcam,2026-03-30
olivia5593@mail.com,419.27,RAM;Headset,2026-03-31
liam4023@example.com,977.55,Mouse Pad;Wireless Mouse,2026-04-01
olivia9923@example.com,97.87,USB Cable,2026-04-02
elijah7569@example.com,617.0,Laptop;SSD;Gaming Monitor,2026-04-03
isabella3079@test.com,1426.09,Mouse Pad;Graphics Card;Headset,2026-04-04
sophia9161@example.com,528.99,Webcam;USB Cable;Monitor,2026-04-05
elijah6094@example.com,351.45,USB Hub;Mechanical Keyboard;Monitor,2026-04-06
noah689@test.com,1431.51,Headset;External HDD;Monitor,2026-04-07
noah5516@example.com,167.42,RAM;Wireless Mouse;USB Cable,2026-04-08
logan9099@test.com,983.97,USB Hub,2026-04-09
charlotte1411@demo.com,793.93,Gaming Monitor;Mechanical Keyboard,2026-04-10
logan6401@test.com,362.69,Wireless Mouse;Gaming Monitor,2026-04-11
mia6048@example.com,227.5,Headset,2026-04-12
elijah3853@demo.com,277.39,Mechanical Keyboard;Wireless Mouse;Graphics Card,2026-04-13
lucas5649@example.com,657.18,USB Hub;Mechanical Keyboard,2026-04-14
noah1599@test.com,724.51,USB Cable;Gaming Monitor;USB Hub,2026-04-15
olivia2470@demo.com,572.1,External SSD;Mouse Pad;SSD,2026-04-16
ava4016@example.com,1135.6,Gaming Mouse;External HDD,2026-04-17
harper8734@demo.com,942.54,Graphics Card;Monitor;External HDD,2026-04-18
mason54@mail.com,1439.38,Laptop,2026-04-19
jack7842@test.com,1037.8,Mouse Pad;External SSD,2026-04-20
lucas885@example.com,433.32,Mouse Pad;Laptop;Mechanical Keyboard,2026-04-21
evelyn8000@example.com,1105.71,External SSD;External HDD;Wireless Mouse,2026-04-22
liam812@mail.com,150.77,Wireless Mouse,2026-04-23
elijah6877@example.com,641.47,Gaming Monitor;External HDD;SSD,2026-04-24
isabella9370@demo.com,278.43,Gaming Monitor;Graphics Card,2026-04-25
charlotte9868@demo.com,811.69,Monitor,2026-04-26
jack2470@mail.com,1454.3,Headset,2026-04-27
ava6719@demo.com,618.17,External SSD;RAM;Mechanical Keyboard,2026-04-28
mia2042@test.com,1069.62,External SSD;Monitor,2026-04-29
oliver8229@example.com,162.27,Graphics Card;Wireless Mouse,2026-04-30
jacob6550@example.com,962.84,External HDD;Gaming Monitor,2026-05-01
sophia3689@test.com,1343.79,Mechanical Keyboard,2026-05-02
ava5937@example.com,863.25,USB Hub,2026-05-03
logan1798@example.com,1061.1,RAM;Gaming Monitor;Webcam,2026-05-04
oliver5666@demo.com,909.39,RAM;Graphics Card;Laptop,2026-05-05
logan3931@example.com,125.88,SSD,2026-05-06
oliver3212@test.com,1447.43,Monitor;Webcam,2026-05-07
elijah5023@example.com,817.97,External SSD,2026-05-08
chloe4254@demo.com,676.71,Mechanical Keyboard;Gaming Monitor,2026-05-09
liam2157@mail.com,251.71,SSD,2026-05-10
mia6644@test.com,822.64,RAM;USB Cable;Monitor,2026-05-11
elijah9580@demo.com,674.69,Headset;USB Hub,2026-05-12
oliver333@demo.com,975.7,Monitor;SSD;USB Hub,2026-05-13
oliver3815@demo.com,1345.44,Mechanical Keyboard,2026-05-14
olivia520@test.com,1050.01,Monitor,2026-05-15
harper9038@demo.com,1369.15,Graphics Card,2026-05-16
mia3607@demo.com,215.24,Gaming Mouse;Laptop;Mechanical Keyboard,2026-05-17
chloe9236@example.com,1488.19,Mechanical Keyboard;SSD;External SSD,2026-05-18
evelyn8760@demo.com,1034.86,SSD;Mouse Pad;Graphics Card,2026-05-19
amelia8387@test.com,574.11,RAM;USB Hub;Headset,2026-05-20
isabella1328@example.com,912.26,Mouse Pad,2026-05-21
ava7926@demo.com,1499.2,Mechanical Keyboard,2026-05-22
chloe2662@mail.com,477.2,USB Hub,2026-05-23
oliver9170@test.com,605.33,Gaming Mouse;Laptop;External SSD,2026-05-24
oliver4327@demo.com,1421.12,Gaming Mouse;Laptop;Graphics Card,2026-05-25
isabella4805@mail.com,1383.03,Laptop;USB Hub,2026-05-26
lucas7233@demo.com,246.66,Gaming Mouse,2026-05-27
olivia3757@test.com,908.4,Headset,2026-05-28
oliver1966@demo.com,158.31,Laptop,2026-05-29
logan562@mail.com,620.8,Webcam;External SSD,2026-05-30
noah3394@example.com,716.36,Monitor;External HDD;Mechanical Keyboard,2026-05-31
harper6378@example.com,1050.62,Wireless Mouse;Headset,2026-06-01
mia5025@mail.com,934.78,External SSD,2026-06-02
oliver8443@test.com,766.9,Gaming Mouse,2026-06-03
jacob6321@test.com,440.98,Mouse Pad;Wireless Mouse,2026-06-04
chloe4858@demo.com,1490.54,Gaming Monitor,2026-06-05
isabella8642@mail.com,199.29,Gaming Mouse,2026-06-06
liam528@mail.com,1448.56,Wireless Mouse,2026-06-07
jack7416@demo.com,520.57,RAM;Gaming Mouse;Graphics Card,2026-06-08
mia582@mail.com,587.16,Graphics Card;USB Cable;Mechanical Keyboard,2026-06-09
evelyn5486@demo.com,1478.71,Mechanical Keyboard;SSD,2026-06-10
chloe7255@test.com,1382.12,SSD,2026-06-11
emma9176@example.com,821.35,Monitor,2026-06-12
liam2543@demo.com,204.71,External SSD;USB Cable;SSD,2026-06-13
sophia4408@test.com,1037.91,Mechanical Keyboard;Headset,2026-06-14
logan452@demo.com,1351.49,Gaming Monitor;Laptop;Monitor,2026-06-15
mia7185@test.com,170.12,Gaming Mouse;Laptop;USB Hub,2026-06-16
mia7347@test.com,1286.08,USB Cable;Wireless Mouse,2026-06-17
amelia6438@example.com,422.03,Mechanical Keyboard,2026-06-18
sophia7416@example.com,731.06,Mouse Pad;External HDD;Gaming Monitor,2026-06-19
mia7711@test.com,1256.98,SSD,2026-06-20
jacob160@mail.com,130.12,External HDD,2026-06-21
chloe4677@test.com,1490.36,Headset;Webcam;Monitor,2026-06-22
jacob9120@test.com,1374.56,Gaming Mouse;SSD,2026-06-23
lucas6430@example.com,1245.96,Wireless Mouse,2026-06-24
harper7035@demo.com,591.87,External SSD,2026-06-25
harper9080@example.com,513.97,Laptop;Gaming Mouse,2026-06-26
sophia8066@test.com,179.45,External SSD;Headset;Webcam,2026-06-27
jacob703@mail.com,923.08,External HDD;Laptop;Monitor,2026-06-28
jack1713@test.com,300.04,Gaming Monitor;USB Cable,2026-06-29
noah8241@test.com,238.1,Wireless Mouse;USB Hub,2026-06-30
chloe9454@example.com,1198.08,Laptop;Gaming Mouse;Gaming Monitor,2026-07-01
sophia9321@mail.com,499.86,RAM,2026-07-02
oliver4610@mail.com,446.31,External HDD;External SSD,2026-07-03
noah1298@test.com,1369.89,Graphics Card;Webcam;SSD,2026-07-04
jacob969@test.com,1399.54,Mouse Pad;USB Cable;SSD,2026-07-05
sophia6794@demo.com,841.02,Mechanical Keyboard,2026-07-06
ava8127@demo.com,253.83,USB Hub,2026-07-07
amelia3615@mail.com,728.72,Laptop;Mouse Pad;Wireless Mouse,2026-07-08
emma4575@demo.com,1413.88,Laptop;Wireless Mouse,2026-07-09
ava2699@mail.com,1148.34,Gaming Monitor,2026-07-10
isabella6306@example.com,989.23,Headset;Gaming Monitor;RAM,2026-07-11
jack2576@test.com,743.79,RAM;Laptop;Wireless Mouse,2026-07-12
amelia9268@example.com,829.49,Gaming Monitor,2026-07-13
chloe8681@demo.com,479.91,Mouse Pad,2026-07-14
jacob7959@mail.com,1090.95,Gaming Mouse;Laptop,2026-07-15
amelia8662@demo.com,1048.44,RAM;Mechanical Keyboard,2026-07-16
evelyn9488@test.com,1196.84,Mechanical Keyboard;External HDD;Headset,2026-07-17
sophia1418@mail.com,784.85,Laptop;Webcam;Graphics Card,2026-07-18
olivia4794@demo.com,1447.82,USB Hub;USB Cable,2026-07-19
noah6477@test.com,579.41,Wireless Mouse;USB Hub,2026-07-20
elijah3777@mail.com,561.22,Graphics Card;Headset,2026-07-21
elijah3124@test.com,1284.86,Monitor;SSD;Laptop,2026-07-22
olivia2033@mail.com,575.09,Wireless Mouse,2026-07-23
elijah2147@example.com,812.17,Webcam,2026-07-24
chloe6556@demo.com,932.7,Mechanical Keyboard;Gaming Monitor;Gaming Mouse,2026-07-25
liam8991@test.com,379.07,Gaming Mouse;Gaming Monitor;Mouse Pad,2026-07-26
emma1460@test.com,965.95,Graphics Card;Laptop,2026-07-27
ava4025@example.com,163.7,External SSD;Mechanical Keyboard,2026-07-28
logan2575@mail.com,758.76,RAM,2026-07-29
oliver3150@test.com,950.74,Mouse Pad,2026-07-30
lucas6349@example.com,1178.78,External SSD,2026-07-31
chloe8101@demo.com,733.8,Laptop;Gaming Monitor,2026-08-01
evelyn9025@demo.com,796.5,External SSD;SSD;Wireless Mouse,2026-08-02
chloe2856@demo.com,1005.12,Laptop;Monitor;Mouse Pad,2026-08-03
liam4806@test.com,65.18,Graphics Card;Gaming Monitor,2026-08-04
mia1152@example.com,1166.58,RAM,2026-08-05
harper595@example.com,1494.96,Webcam,2026-08-06
harper5197@example.com,1007.94,SSD,2026-08-07
harper4661@demo.com,606.05,External HDD;Gaming Mouse;Monitor,2026-08-08
olivia4015@mail.com,881.25,Gaming Monitor;USB Hub;Mechanical Keyboard,2026-08-09
liam9381@demo.com,555.44,Mechanical Keyboard,2026-08-10
harper2283@demo.com,947.55,USB Cable;Laptop;Mouse Pad,2026-08-11
noah852@mail.com,1288.13,USB Cable;USB Hub,2026-08-12
elijah3439@mail.com,1277.75,Wireless Mouse;USB Cable,2026-08-13
evelyn846@demo.com,1190.92,Gaming Monitor;USB Hub,2026-08-14
mia4816@test.com,108.58,Webcam;USB Hub,2026-08-15
harper8846@demo.com,1406.95,External SSD,2026-08-16
ava7550@test.com,788.91,Laptop;External HDD,2026-08-17
jack2892@test.com,1111.95,USB Cable;Gaming Monitor;SSD,2026-08-18
elijah3610@mail.com,483.27,RAM;External HDD;Gaming Mouse,2026-08-19
mason1402@example.com,512.79,Laptop;USB Hub,2026-08-20
mia1388@test.com,464.02,Webcam;SSD;Laptop,2026-08-21
charlotte7278@mail.com,1154.3,RAM;Laptop;Graphics Card,2026-08-22
jacob4286@test.com,1251.17,Webcam;Mechanical Keyboard,2026-08-23
lucas2308@demo.com,1418.06,Webcam;Gaming Mouse,2026-08-24
logan5577@demo.com,1399.51,Mouse Pad;Headset,2026-08-25
sophia7533@example.com,1421.48,Graphics Card,2026-08-26
amelia8817@example.com,629.93,Wireless Mouse;USB Cable,2026-08-27
oliver2160@mail.com,920.88,USB Hub;Mouse Pad,2026-08-28
noah8171@example.com,1008.65,External HDD,2026-08-29
sophia5886@test.com,1349.34,Wireless Mouse;RAM;Graphics Card,2026-08-30
isabella2059@example.com,1339.73,External HDD;USB Cable;Headset,2026-08-31
emma4557@demo.com,483.57,USB Hub,2026-09-01
evelyn3865@demo.com,227.18,Monitor;Mouse Pad,2026-09-02
sophia8109@test.com,330.73,Gaming Mouse,2026-09-03
oliver7711@demo.com,347.94,Gaming Monitor;Mechanical Keyboard,2026-09-04
noah2647@mail.com,845.32,External SSD,2026-09-05
mason5873@example.com,730.25,Graphics Card;Mechanical Keyboard;USB Cable,2026-09-06
chloe4683@test.com,605.89,Headset,2026-09-07
elijah8348@example.com,1466.08,External SSD,2026-09-08
noah5845@demo.com,937.14,Mechanical Keyboard;External SSD;Webcam,2026-09-09
noah7132@mail.com,961.02,Headset;Mouse Pad,2026-09-10
mason4053@example.com,1242.07,Webcam;External HDD;SSD,2026-09-11
mason1964@example.com,285.17,Headset;Monitor,2026-09-12
charlotte7424@mail.com,1153.1,Mechanical Keyboard;Graphics Card;USB Hub,2026-09-13
liam9620@demo.com,551.41,Webcam;Mechanical Keyboard,2026-09-14
chloe9215@test.com,292.91,SSD,2026-09-15
logan7384@demo.com,373.38,Wireless Mouse,2026-09-16
amelia5926@demo.com,1331.54,External SSD,2026-09-17
olivia6345@test.com,688.57,Wireless Mouse,2026-09-18
chloe8337@demo.com,898.86,SSD,2026-09-19
jacob8577@test.com,1225.13,External SSD;Headset,2026-09-20
mason87@example.com,181.24,USB Hub;SSD,2026-09-21
mason1130@demo.com,181.36,SSD;USB Hub,2026-09-22
logan810@demo.com,1488.06,Webcam,2026-09-23
isabella4557@test.com,820.06,SSD;Gaming Mouse,2026-09-24
evelyn7927@mail.com,415.19,Gaming Monitor;RAM;External SSD,2026-09-25
jack1276@example.com,776.21,Laptop,2026-09-26
oliver7662@mail.com,378.03,Laptop;Headset,2026-09-27
mason5269@mail.com,537.66,External HDD,2026-09-28
olivia9680@example.com,1350.87,SSD,2026-09-29
charlotte2621@example.com,1492.16,Laptop,2026-09-30
charlotte9018@mail.com,789.33,Gaming Monitor,2026-10-01
lucas8058@demo.com,489.16,External HDD;Monitor;Headset,2026-10-02
liam6444@test.com,936.57,USB Hub,2026-10-03
harper1851@example.com,112.31,SSD;Headset,2026-10-04
harper9686@test.com,889.35,Headset;Gaming Mouse;Gaming Monitor,2026-10-05
harper8725@example.com,265.59,Monitor;External SSD;Gaming Monitor,2026-10-06
noah2981@example.com,688.5,Gaming Mouse;RAM,2026-10-07
logan9086@example.com,332.82,RAM,2026-10-08
mason6498@mail.com,1122.9,Webcam;Laptop,2026-10-09
jack6633@demo.com,827.45,External HDD;Monitor,2026-10-10
lucas8568@mail.com,560.37,Webcam;Mechanical Keyboard,2026-10-11
mia6781@test.com,369.86,Webcam,2026-10-12
mason1393@example.com,1488.13,USB Cable;Headset;Webcam,2026-10-13
evelyn6701@test.com,312.8,Wireless Mouse;External SSD;RAM,2026-10-14
evelyn2087@test.com,119.44,External SSD;Monitor;USB Hub,2026-10-15
oliver5044@example.com,258.63,Gaming Mouse;SSD;Mechanical Keyboard,2026-10-16
